System,Legitimacy,Decision-making,Resource allocation,Defense,Military Technology,Information,Social integration,Succession,Adaptability,Long-Term Stewardship,Transboundary Coordination,Existential Risk Mitigation,Epistemic Governance
Etruscan Lucumones,Augury rites,Elective Monarchy,Vineyards,Feudal levies,Liver divination,Liver divination,League of 12,Appointment,Collapse/Rebirth: Roman conquest assimilation,Sacred groves,Tyrrhenian trade,<contentious>,Bronze mirrors
Lydian Electrum Oligarchy,Gold refinement,Plutocratic Autocracy,Coin mints,Mercenaries,Electrum coins,Coinage laws,Sardis markets,Usurpation,Reform: Monetary innovation through first coinage,Pactolus River,Anatolian trade,<contentious>,Gymnasium culture
Persian Satrapy System,Ahura Mazda,Imperial Bureaucracy,Royal road,Standing army,Parsi regiments,Firman decrees,Zoroastrianism,Appointment,Syncretism: Multicultural imperial bureaucracy,Qanat irrigation,Silk Road,<contentious>,Cyrus Cylinder
Roman Republic,Senatorial auctoritas,Mixed Constitution,Grain dole,Standing army,Legion eagles,Tabula laws,Paterfamilias,Elective,Reform: Legal evolution through mixed constitution,Aqueducts,Mare Nostrum,<contentious>,Stoic philosophy
Athenian Democracy,Isonomia,Direct Democracy,Liturgies,Citizen militia,Triremes,Ostraka voting,Ostracism,Lottery,Reform: Democratic experiments including ostracism,Delian League,Hellenic sympoliteia,<contentious>,Platonic Academy
Celtic Druidic Synods,Oak grove sanctity,Scholastic Oligarchy,Clientage,Permanent warrior class,Woad warriors,Ogham script,Samhain rites,Appointment,Collapse/Rebirth: Roman suppression of oral law systems,Sacred groves,Amber routes,<contentious>,Druid colleges
Roman Collegia Guild Republics,Corpus juris,Corporatist Democracy,Guild monopolies,Urban militias,Vigiles,Wax-tablet votes,Plebeian councils,Election,Syncretism: Trade networks parallel to state,Appian Way,Mediterranean trade,<contentious>,Vitruvian engineering
Bantu Mfecane Councils,Ancestral iron,Gerontocratic Expansionism,Cattle loans,Temporary war parties,Assegai raids,Smelting rituals,Age grades,Age grades,Reform: Bantu expansion through iron-age governance,Iron smelting,Trans-African trade,<contentious>,Oral griots
Proto-Norse Thing Assemblies,Ting meadow,Archaic Democracy,Allodial plots,Temporary war parties,Berserker bands,Rune stone laws,Blót sacrifices,Consensus,Reform: Viking adaptability through outdoor law rocks,Rune stones,Baltic trade,<contentious>,Saga poetry
Zapotec Glyph-Judge System,Cosmic duality,Calendar Bureaucracy,Chinampas,Permanent warrior class,Jaguar warriors,Hieroglyph codices,Ballgame cult,Hereditary,Syncretism: Monte Albán zenith calendar courts,Cacao groves,Mesoamerican trade,<contentious>,260-day cycle
Berber Amazigh Councils,Tifinagh script,Tribal Democracy,Oasis gardens,Tribal militias,Camel cavalry,Tifinagh script,Matrilineage,Consensus,Crisis-Specific Innovation: Sahara-adaptive matrilineal clans,Foggaras,Trans-Saharan trade,<contentious>,Tuareg codes
La Tène Tribal Federations,Woad tattoos,Tribal Confederation,Amber trade,Temporary war parties,Chariots,Coin minting,Headhunting cult,Elective,Collapse/Rebirth: Roman conquest of decentralized clans,Sacred groves,Danube trade,<contentious>,Druidism
Rhodes Naval Oligarchy,Colossus cult,Maritime Plutocracy,Shipyards,Naval forces,Triremes,Bronze maritime laws,Helios worship,Election,Syncretism: Ptolemaic alliance maritime laws,Harbor chains,Aegean trade,<contentious>,Heliocentric models
Syracusan Mathematical Tyrants,Geometry proofs,Technocratic Tyranny,Siege engines,Mercenaries,Catapults,Geometry proofs,Pythagorean cult,Assassination,Collapse/Rebirth: Roman siege ending technocratic rule,Archimedes' screw,Magna Graecia,<contentious>,Planetary gears
Nabatean Water Merchants,Al-Uzza cult,Hydraulic Oligarchy,Incense trade,Tribal militias,Desert cisterns,Nabatean script,Caravan kinship,Hereditary,Crisis-Specific Innovation: Desert hydraulics and spice routes,Petra waterways,Incense Route,<contentious>,Hydraulic cement
Garamantian Foggaras,Ammon oracle,Hydraulic Autocracy,Date palms,Tribal militias,Libyan cavalry,Foggara maps,Saharan trade,Hereditary,Syncretism: Roman contact with underground canals,Underground canals,Trans-Saharan trade,<contentious>,Oasis mapping
Theban Sacred Band Oligarchy,Harmodius cult,Military Aristocracy,Hoplite farms,Permanent warrior class,Phalanx,Hoplite drills,Pederasty,Merit-based,Collapse/Rebirth: Macedonian conquest of warrior elite,Gymnasion,Hellenic leagues,<contentious>,Choral poetry
Qi Jixia Academy,Hundred Schools,Scholastic Meritocracy,Grain taxes,Standing army,Crossbowmen,Bamboo scrolls,Confucianism,Appointment,Reform: Legalist reforms through debate halls,Irrigation,Warring States,<contentious>,Mohist logic
Mauryan Arthashastra State,Dharma chakra,Police State,Spice warehouses,Standing army,War elephants,Palm-leaf edicts,Ashokan pillars,Hereditary,Reform: Edict system and spy bureaucracy,Dhamma missions,Indo-Roman trade,<contentious>,Zero concept
Yuezhi Nomad Diarchy,Sky god cult,Steppe Diarchy,Ferghana horses,Temporary war parties,Composite bows,Tamga symbols,Kurgan rites,Elective,Syncretism: Kushan transition from steppe diarchy,Silk Road caravans,Bactrian trade,<contentious>,Animal style
Sarmatian Female Warbands,Amazon cult,Gynocratic Militarism,Mare milk,Permanent warrior class,Scale armor,Tamga brands,Matrilineal,Matrilineal,Reform: Gothic pressure adapting matrilocal militarism,Kurgan burials,Pontic trade,<contentious>,Tattoo art
D'mt Beehive Councils,Moon temple,Melitocratic Theocracy,Honey tax,Tribal militias,Beehive forts,Wax tablets,Sabaean syncretism,Appointment,Collapse/Rebirth: Aksumite conquest of honey-tax system,Sacred bees,Red Sea trade,<contentious>,Astral religion
Bactrian Greek Syncretism,Heracles-Vajra,Cultural Hybrid Monarchy,Greek vineyards,Standing army,War elephants,Coin iconography,Zoro-Buddhism,Hereditary,Syncretism: Gandhara fusion of Hellenistic/Indian rule,Ai-Khanoum,Greek India,<contentious>,Greco-Buddhist art
Qin Legalism,Legalism,Totalitarian Autocracy,Standardized measures,Standing army,Terracotta army,Bamboo strip laws,Burning of books,Hereditary,Collapse/Rebirth: Rigid collapse from totalitarian autocracy,Great Wall,Silk Road,<contentious>,Standardized script
Han Dynasty Examination Prototype,Mandate of Heaven,Merit Bureaucracy,State monopolies,Standing army,Crossbow militias,Imperial exams,Confucianism,Appointment,Reform: Exam system precursor for meritocracy,Silk Road,Central Asian trade,<contentious>,Paper invention
Hopewell Copper Exchange,Earthwork geometry,Prestige Sphere,Copper trade,Tribal militias,Effigy pipes,Burial mound goods,Moundbuilder cult,Consensus,Syncretism: Climate shift adaptation through ritual trade,Sacred geometry,Mississippi trade,<contentious>,Astronomical mounds
Teotihuacan Theocratic Oligarchy,Feathered serpent,Urban Theocracy,Obsidian workshops,Permanent warrior class,Jaguar warriors,Artisan councils,Apartment compounds,Appointment,Reform: Mesoamerican hub through artisan councils,Avenue of the Dead,Maya trade,<contentious>,Tlalocan murals
Mogollon Pit-House Democracies,Kiva councils,Subterranean Democracy,Corn stores,Tribal militias,Atlatl gangs,Painted pottery,Kachina cult,Rotation,Crisis-Specific Innovation: Drought adaptation via subterranean councils,Pit-house villages,Southwest trade,<contentious>,Turquoise art
Kushan Devaputra,Buddha-King,Syncretic Monarchy,Gandhara trade,Standing army,Cataphracts,Bilingual coins,Kanishka cult,Hereditary,Syncretism: Silk Road zenith through syncretic monarchy,Mathura school,Central Asian trade,<contentious>,Greco-Buddhism
Silla Bone-Rank System,Hwarang code,Hereditary Stratocracy,Gold mines,Permanent warrior class,Hwarang warriors,Hwarang code,Buddhism,Hereditary,Collapse/Rebirth: Unification wars reshaping caste system,Seokguram,Korean trade,<contentious>,Hyangga poetry
Moche Sacrificial Hydraulics,Ai Apaec cult,Ritual Autocracy,Irrigation canals,Permanent warrior class,Macemen,Ceramic iconography,Blood rites,Dynastic,Collapse/Rebirth: El Niño collapse of ritual irrigation,Huaca del Sol,Andean trade,<contentious>,Goldsmithing
Moche Ceremonial Brewmasters,Chicha cult,Fermentation Socialism,Maize beer,Tribal militias,Spondylus armor,Pottery formulas,Shamanism,Appointment,Collapse/Rebirth: Drought collapse of fermentation socialism,Ceremonial vessels,Andean trade,<contentious>,Metallurgy
Champa Linga-Kings,Shiva lingam,Iconic Theocracy,Rice terraces,Standing army,Elephant corps,Sanskrit stelae,Mataram ties,Hereditary,Syncretism: Maritime Chams blending Hindu/local rule,My Son,Maritime Silk Road,<contentious>,Sandstone art
Blemmyes Desert Assemblies,Aniconic cult,Aniconic Democracy,Oasis control,Tribal militias,Shield walls,Shield iconography,Nubian links,Consensus,Collapse/Rebirth: Roman pressure on nomadic tribunals,Rock art,Eastern Desert trade,<contentious>,Nomadic law
Khotanese Buddhist Monarchy,Maitreya cult,Monastic Kingship,Silk caravans,Standing army,Khotanese cavalry,Gandhari scrolls,Gandharan art,Hereditary,Syncretism: Tarim oasis trilingual edicts,Dunhuang caves,Silk Road,<contentious>,Mahayana texts
Tairona Gold-Shaman Councils,Jaguar-shaman,Metallurgical Theocracy,Gold mines,Permanent warrior class,Lost-wax castings,Lost-wax castings,Coca rites,Apprenticeship,Collapse/Rebirth: Spanish conquest of metallurgical theocracy,Sierra Nevada,Buritaca trade,<contentious>,Tumbaga alloy
Mayan Ajaw System,K'uhul ajaw,Ritual Kingship,Cacao groves,Permanent warrior class,Obsidian blades,Hieroglyph stelae,Long Count,Hereditary,Reform: Classic collapse leading to calendar ritual adaptations,Sacred cenotes,Mesoamerican trade,<contentious>,Astronomical codices
Pallava Guild Republics,Varaha cult,Corporate Oligarchy,Textile guilds,Standing army,Monolithic rathas,Guild charters,Bhakti movement,Election,Syncretism: Dravidian synthesis through artisan collectives,Mamallapuram,Southeast Asian trade,<contentious>,Grantha script
Pictish Matrilineal Kings,Stone symbols,Matrilineal Monarchy,Salmon runs,Feudal levies,Brochs,Ogham stones,Celtic Christianity,Hereditary,Syncretism: Gaelic merger preserving female succession,Stones of Scotland,North Sea trade,<contentious>,Animal symbolism
Gupta Golden Age,Vishnu avatara,Cultural Hegemony,Spice trade,Standing army,Elephant armies,Sanskrit dramas,Hindu revival,Hereditary,Reform: Classical zenith through decentralized Hindu renaissance,Nalanda,Indian Ocean trade,<contentious>,Aryabhata
Ghana Empire Wagadu,Bida serpent,Commercial Theocracy,Gold dust,Standing army,Silent barter,Silent barter,Mande kinship,Elective,Syncretism: Trans-Saharan hub with silent barter traditions,Kumbi Saleh,Saharan trade,<contentious>,Griot oral history
Marajoara Amazonian Queens,Floodplain goddess,Gynocratic Hydraulics,Manioc fields,Tribal militias,Urn burials,Urn burials,Marajoara art,Hereditary,Collapse/Rebirth: European contact disrupting floodplain systems,Terra preta,Amazon trade,<contentious>,Ceramic urns
Visigothic Code Judges,Arian Christianity,Legal Syncretism,Latifundia,Feudal levies,Comitatus,Law books,Hispania fusion,Appointment,Syncretism: Muslim conquest ending Germanic-Roman hybrid courts,Toledo councils,Mediterranean trade,<contentious>,Breviary of Alaric
Sogdian Merchant-Republics,Zoroastrianism,Commercial Democracy,Caravan stops,Mercenaries,Sogdian mercenaries,Contract tablets,Silk Road syncretism,Rotation,Reform: Trans-Eurasian trade networks with rotating magistrates,Penjikent,Silk Road,<contentious>,Sogdian script
Frisian Tribal Thing,Sea law,Maritime Tribal Democracy,Peat lands,Tribal militias,Frisian axes,Thing votes,North Sea kinship,Consensus,Crisis-Specific Innovation: Dike innovation through coastal assemblies,Terpen mounds,Hanseatic trade,<contentious>,Runic law
Sogdian Merchant Caravanserais,Caravan gods,Caravan Oligarchy,Spice warehouses,Mercenaries,Sogdian contracts,Sogdian contracts,Samarkand bazaars,Appointment,Reform: Silk Road nodes with Zoroastrian guild governance,Afrasiab murals,Transoxiana,<contentious>,Sogdian art
Dalriada Gaelic Law Schools,Brehon law,Oral Jurisprudence,Cattle raids,Feudal levies,Ogham stones,Poetic recitals,Pictish fusion,Appointment,Collapse/Rebirth: Viking raids disrupting oral jurisprudence,Iona Abbey,Irish Sea trade,<contentious>,Celtic hagiography
Sao Clay Wall Cities,Terracotta cult,Ceramic Urbanism,Millet stores,Settlement militias,Clay ramparts,Pottery tallies,Chadic kinship,Appointment,Collapse/Rebirth: Kanem conquest of ceramic urbanism,Clay figurines,Sahel trade,<contentious>,Lost-wax
Irish Brehon Law,Filidh poets,Legalistic Meritocracy,Cattle law,Feudal levies,Bardic schools,Legal poetry texts,Clan tanistry,Appointment,Reform: Norman adaption of customary law,Beehive huts,Atlantic trade,<contentious>,Ogham script
Calusa Shell Mound Kingdom,Shell ring divinity,Shell Heap Monarchy,Shellfish beds,Tribal militias,Conch trumpet edicts,Conch trumpet edicts,Calusa water cult,Hereditary,Syncretism: Spanish contact with estuary pyramid builders,Shell mounds,Florida trade,<contentious>,Wood carvings
Chumash Tomol Canoe Guilds,Chumash sun cult,Nautical Craft Oligarchy,Acorn stores,Naval militias,Tomol canoes,Tide charts,Chumash astronomy,Hereditary,Crisis-Specific Innovation: Channel resilience through plank-canoe networks,Painted caves,California trade,<contentious>,Astronomical charts
Sámi Siida Councils,Sieidi stones,Pastoral Communalism,Reindeer herds,Tribal militias,Drum divination,Drum divination,Noaide shamanism,Consensus,Crisis-Specific Innovation: Arctic resilience through reindeer-herding units,Sacred stones,Fennoscandian trade,<contentious>,Yoik songs
Göktürk Orkhon Script Khans,Tengri cult,Nomadic Constitutional Monarchy,Steppe pastures,Temporary war parties,Orkhon inscriptions,Orkhon inscriptions,Turkic kinship,Elective,Reform: Runic law inscriptions for steppe governance,Bilge Khagan,Silk Road,<contentious>,Old Turkic
Wari Tinku Labor System,Ayar ancestor cult,Labor Militarism,Terraced farms,Standing army,Khipu records,Khipu records,Andean reciprocity,Rotation,Collapse/Rebirth: Drought collapse of ritual combat festivals,Wari roads,Andean trade,<contentious>,Tupu pins
Tang Dynasty Keju,Confucian exams,Merit Bureaucracy,Grand Canal,Standing army,Exam halls,Exam halls,Chan Buddhism,Testing,Reform: Civil service exam system institutionalization,Dunhuang library,Maritime Silk Road,<contentious>,Woodblock printing
Tang Fanzhen Clans,Clan prestige,Aristocratic Bureaucracy,Equal-field,Standing army,Jiedushi,Family registries,Chan Buddhism,Hereditary,Collapse/Rebirth: An Lushan rebellion weakening aristocratic exams,Dunhuang caves,Silk Road,<contentious>,Tributary system
Khazar Jewish Khaganate,Kabbalah syncretism,Elective Diarchy,Silk Road tolls,Standing army,Khazar cavalry,Hebrew coins,Rabbinic courts,Rotation,Syncretism: Multicultural steppe empire with dual religion,Sarkel fortress,Volga trade,<contentious>,Hebrew-Khazar
Srivijayan Maharaja Mandala,Borobudur cult,Naval Tributary Hegemony,Spice ports,Naval forces,Old Malay inscriptions,Old Malay inscriptions,Vajrayana Buddhism,Dynastic,Reform: Thalassocratic control through naval tributaries,Borobudur,Maritime Silk Road,<contentious>,Kawi script
Srivijayan Mandala,Tantric Buddhism,Maritime Tributary Hegemony,Pepper trade,Naval forces,Sanskrit inscriptions,Sanskrit inscriptions,Sumatran syncretism,Dynastic,Collapse/Rebirth: Chola invasion disrupting galactic polity,Palembang,Strait of Malacca,<contentious>,Sanskrit
Byzantine Theme System,Basileus divinity,Military Agrarianism,Thematic farms,Standing army,Taktika manuals,Taktika manuals,Orthodoxy,Appointment,Reform: Adaptive defense through farmer-soldier provinces,Hagia Sophia,Black Sea trade,<contentious>,Greek fire
Venetian Republic,Doge's ring,Aristocratic Republic,Arsenal shipyards,Naval forces,Ballottino voting,Ballottino voting,Civic humanism,Sortition,Reform: Maritime republic with elaborate election lotteries,Lagoon engineering,Mediterranean trade,<contentious>,Venetian glass
Kanem Duguwa Nomad-Kings,Sayf ibn Dhi Yazan,Mobile Pastoral Autocracy,Trans-Saharan trade,Temporary war parties,Camel caravans,Camel caravans,Kanembu clans,Elective,Syncretism: Sahara crossings through camel-borne dynasties,Lake Chad,Saharan trade,<contentious>,Duguwa
Anasazi Kiva Water Councils,Kachina cult,Hydraulic Democracy,Mesa Verde,Tribal militias,Petroglyph maps,Petroglyph maps,Pueblo cosmology,Rotation,Crisis-Specific Innovation: Drought adaptation via underground chambers,Chaco Canyon,Southwest trade,<contentious>,Solar markers
Viking Law Speakers,Thing assembly,Oral Jurisprudence,Allodial land,Temporary war parties,Berserker bands,Poetic recitals,Norse pantheon,Appointment,Reform: Legalistic expansion through memorized oral laws,Runestones,Baltic trade,<contentious>,Skaldic poetry
Welsh Cantrefi,Celtic law,Pastoral Segmentary State,Cywydd poetry,Feudal levies,Cywydd poetry,Welsh bards,Elective,3 (Norman pressure),Syncretism: Mabinogion traditions preserving pastoral rights,Irish Sea trade,<contentious>,Culhwch,
Orkney Jarl Sea-Kingdoms,Norse law,Archipelago Elective Monarchy,Sheep islands,Temporary war parties,Rune stone laws,Rune stone laws,Orcadian kinship,Election,Reform: Norse resilience through thing sites and runestones,Maeshowe,North Sea trade,<contentious>,Saga
Chachapoya Cloud Forest Clans,Cloud warrior cult,Geronocratic Militarism,Terrace farms,Permanent warrior class,Mummy bundles,Mummy bundles,Andean mummies,Hereditary,Collapse/Rebirth: Inca conquest of hilltop fortress culture,Kuelap,Amazon-Andes trade,<contentious>,Sarcophagi
Frisian Sea-Law Republics,Water rights,Hydraulic Democracy,Dike lands,Tribal militias,Terp mound laws,Terp mound laws,Frisian freedom,Election,Crisis-Specific Innovation: Polder model for hydraulic democracy,Terpen mounds,Hanseatic trade,<contentious>,Lex Frisionum
Frisian Moot Hall Democracy,Thing assembly,Hydraulic Democracy,Peat bogs,Tribal militias,Peat laws,Peat laws,Frisian kinship,Consensus,Crisis-Specific Innovation: Dike consensus through tidal-flat assemblies,Moot halls,Wadden trade,<contentious>,Water boards
