System,Start,End,Region,Characteristics,Governance Type,Belief System,sovereignty_index,admin_index,competitive_politics_index,exit_freedom,disobedience_freedom,arrangement_freedom,surplus_legibility,info_infrastructure,seasonality,binding_mechanism,scale_population,scale_territory,collapse_mode,gw_discussed,coding_confidence,notes
Mohenjo-daro / Indus Valley Civilisation,-2600,-1900,South Asia,Cities of ~40000; elaborate drainage/sanitation; standardised weights; no palaces or royal tombs; no weapons caches; evidence of long-distance trade; script undeciphered,Egalitarian Urban Civilisation,Unknown (script undeciphered),0.1,0.4,0.2,0.6,0.75,0.6,0.6,0.45,unknown,unknown,4,4,abandonment/climate,TRUE,2,"G&W's most enigmatic case. High A (standardisation, weights) without apparent S. Script may reveal more but current evidence suggests unprecedented urban equality."
Shang Dynasty,-1600,-1046,China,Divine kingship; oracle bones as proto-administrative record; ancestor worship as political legitimacy; human sacrifice at royal burials; bronze ritual monopoly,Oracle Monarchy,Chinese polytheism/Ancestor,0.85,0.35,0.35,0.2,0.15,0.15,0.65,0.3,none,land/ritual,4,4,conquest,FALSE,3,High-S with proto-A. Oracle bones are I in service of sovereignty rather than administration proper. Contrast with Zhou feudalism that follows.
Taosi,-2300,-1800,Northern China,Early walled city; evidence of initial hierarchy then apparent levelling; astronomical observatory; possible egalitarian reform period mid-occupation,Transitional Urban,Chinese traditional,0.45,0.3,0.35,0.5,0.55,0.5,0.5,0.2,low,land,3,2,abandonment,TRUE,2,G&W discuss as possible example of egalitarian reversal — hierarchy established then dismantled. Critical for R (arrangement freedom) argument.
Vedic Jana/Gana Sanghas,-1500,-300,North India,Tribal republics (gaṇa-saṃghas); assembly-based governance; Vajjian Confederacy and Licchavi republic as peak examples; warrior aristocracy with deliberative councils,Tribal Republic / Oligarchic Assembly,Vedic/early Hindu,0.35,0.2,0.55,0.6,0.65,0.55,0.4,0.15,medium,clan,3,3,conquest/absorption,FALSE,2,The Indian republican tradition that Buddhism emerged within. High P (kshatriya competition) with meaningful D. Absorption into Mauryan Empire is a lock-in event.
Olmec,-1500,-400,Gulf Coast Mexico,First Mesoamerican complex society; colossal heads (ruler portraits); long-distance jade/obsidian trade; no deciphered writing; uncertain political structure,Proto-Theocratic Chiefdom,Olmec religion,0.6,0.2,0.6,0.35,0.35,0.3,0.5,0.1,low,ritual/tribute,3,3,decline/transition,FALSE,2,P-dominant emergence case: colossal heads suggest personalised sovereignty display. May be the P→S transition in action.
Celtic Tribal Assemblies,-800,43,Northwestern Europe,Peripatetic tribes; assembly governance (comitia); elected war-leaders; druidic priesthood as ritual authority; high geographic mobility; deliberate non-urbanisation,Tribal Assembly Confederacy,Celtic polytheism,0.3,0.1,0.55,0.75,0.7,0.65,0.3,0.1,medium,clan/honour,2,3,conquest,TRUE,2,G&W discuss Celtic deliberate avoidance of urbanism as schismogenesis against Mediterranean model. High E and D maintained as political value.
Scythian Nomadic Confederacy,-700,-200,Eurasian Steppe,Horse-mounted pastoral nomads; elected war-leaders; kurgan burial with wealth display; no fixed territory; resistance to Persian administrative incorporation,Nomadic Warrior Confederacy,Scythian animism,0.45,0.05,0.6,0.9,0.7,0.7,0.2,0.05,medium,none,3,4,fragmentation/displacement,FALSE,2,High-E extreme case. Persian attempts to incorporate failed precisely because E was too high — the Scythians simply moved. Schismogenesis against Achaemenid model.
Minoan Crete,-2700,-1450,Aegean,Palace-centred redistribution economy; Linear A script (undeciphered); no evidence of military fortification until late; possible female ritual authority; thalassocracy,Palace Redistribution State,Minoan religion,0.5,0.55,0.45,0.45,0.45,0.4,0.7,0.5,low,land/palace,3,2,conquest/disaster,FALSE,2,Important pre-Greek Aegean case. Palace as administrative hub without obvious military sovereignty. A relatively high via Linear A record-keeping.
Mauryan Empire,-322,-185,South Asia,First pan-Indian state; Arthashastra bureaucratic manual; extensive spy network; standardised weights and measures; Ashoka's edicts as administrative communication,Bureaucratic Empire,Buddhist/Brahminic,0.8,0.85,0.3,0.15,0.15,0.15,0.85,0.8,none,land/debt/coercion,5,5,fragmentation,FALSE,3,Near-maximum A case. Kautilya's Arthashastra is the most explicit pre-modern manual for administrative domination. E and D near zero at peak.
Classic Maya City-States,250,900,Mesoamerica,Competitive peer polities; elaborate calendrical ritual; ruler portraiture and dynastic history; warfare as ritual and prestige; no tributary empire; city-state scale,Competitive Theocratic City-State,Maya religion,0.65,0.55,0.9,0.4,0.35,0.35,0.6,0.65,low,ritual/land,3,2,abandonment/collapse,TRUE,3,Extreme P case: politics as ritual performance and dynastic display. The 'Terminal Classic collapse' is a Turchin-type elite competition breakdown — P destroys itself when competitive politics becomes unsustainable.
Teotihuacan,100,550,Mesoamerica,Largest pre-Columbian city (~125000); standardised apartment compounds suggesting enforced equality; no named rulers in art; murals show collective not royal themes; multi-ethnic,Egalitarian Urban State,Teotihuacan religion,0.3,0.5,0.2,0.5,0.65,0.55,0.65,0.4,low,community/ritual,5,3,collapse/fire,TRUE,3,G&W's key large-scale egalitarian urbanism case in Americas. The apartment compounds and absence of ruler iconography are the primary evidence. Violent collapse c.550 CE.
Aztec Triple Alliance,1428,1521,Mesoamerica,Tributary empire; flower wars for sacrifice victims; calpulli communal land tenure; pochteca merchant class; complex legal system; tlatoani as elected-but-hereditary ruler,Imperial Tributary State,Aztec religion,0.8,0.75,0.75,0.2,0.2,0.2,0.85,0.7,low,land/tribute/ritual,5,4,conquest,FALSE,3,Near-maximum SAP case with partial E preservation via calpulli system. The combination of high S+A+P with ritual warfare as population control is distinctive.
Tlaxcala Republic,1384,1521,Mesoamerica,Federated city-state republic; elected council of four lords; resisted Aztec incorporation for 130 years; maintained internal autonomy; allied with Cortés for independence,Federated Republic,Tlaxcalan religion,0.4,0.4,0.6,0.55,0.6,0.55,0.55,0.3,low,clan/honour,3,2,conquest/absorption,FALSE,2,The counter-case to Aztec. Explicitly maintained autonomy against the regional hegemon — high schismogenesis value. D and E meaningfully higher than surrounding imperial systems.
Iroquois Confederacy / Haudenosaunee,1450,1900,Northeast North America,Five (later six) nations; Great Law of Peace (Gayanashagowa); clan mothers select and can deselect chiefs; consensus decision-making; condolence ritual for leadership transition,Matrilineal Consensus Confederacy,Haudenosaunee spirituality,0.25,0.2,0.5,0.7,0.85,0.75,0.35,0.15,medium,clan,4,4,colonial disruption,TRUE,3,"G&W's key large-scale egalitarian case for the Americas. Directly influenced Enlightenment political thought (Lahontan, Rousseau). Clan mothers' veto is institutionalised D."
Highland New Guinea Big Man System,-1000,2000,Papua New Guinea,Competitive feasting; prestige through redistribution not accumulation; non-hereditary leadership; deliberate levelling mechanisms; no fixed territory,Competitive Prestige Economy,Melanesian animism,0.1,0.05,0.85,0.85,0.85,0.8,0.2,0.05,medium,none,2,2,ongoing,FALSE,3,"The pure high-P / low-S / low-A anchor case. Big Man status is personal, non-transferable, and actively levelled by community ridicule if overreached. Marshall Sahlins' foundational case."
Zomia Highland Communities,500,1950,Highland Southeast Asia,Deliberately stateless hill peoples; swidden agriculture (anti-legibility); oral tradition (anti-administration); frequent relocation; ethnic diversity as state-avoidance strategy,Deliberate Statelessness,Varied animist,0.05,0.05,0.2,0.95,0.9,0.9,0.05,0.05,high,none,2,3,colonial enclosure,FALSE,3,James Scott's 'The Art of Not Being Governed' — communities that actively chose statelessness by keeping surplus illegible and maintaining mobility. Maximum E case.
Inca Empire (Tawantinsuyu),1438,1533,Andean South America,Vast bureaucratic empire without writing; quipu knotted-cord accounting; mit'a labour tax; road network; no money; state redistribution of all surplus,Administrative Empire Without Writing,Inca religion,0.75,0.8,0.2,0.1,0.1,0.1,0.9,0.6,none,labour/land,5,5,conquest,FALSE,3,High-A without writing — the quipu system is the most sophisticated non-literate administrative apparatus known. Demonstrates L and I can be high without literacy.
Balinese Negara,900,1906,Bali,Theatre state; ritual as governance; kings competed through ceremony not taxation; no extraction apparatus; power demonstrated through spectacular ritual,Theatre State,Hindu-Bali,0.2,0.15,0.95,0.65,0.7,0.6,0.2,0.1,medium,ritual,3,2,colonial conquest,FALSE,3,Clifford Geertz's 'Negara' — the extreme P anchor. Governance as performance. Geertz argued taxation and coercion were secondary to ritual prestige. Near-zero S and A.
Norse Thing System,800,1300,Scandinavia,Outdoor assemblies; law-speaker recites law from memory; freeborn men participate; outlawry as primary sanction (enforced exit rather than imprisonment); jury-like panels,Law-Assembly Democracy,Norse polytheism,0.3,0.15,0.45,0.8,0.75,0.65,0.3,0.1,medium,honour/law,3,3,monarchical centralisation,FALSE,2,The sanction of outlawry is theoretically interesting: the punishment for lawbreaking is enforced E (you must leave). Treats exit as weapon rather than right.
Tiv Segmentary Lineage System,-500,1900,Nigeria,Acephalous; no chiefs; lineage segments balance against each other; tar (land) held communally; disputes resolved by balanced opposition; market exchange without state,Acephalous Segmentary Society,Tiv traditional,0.05,0.05,0.3,0.8,0.9,0.8,0.2,0.05,low,clan,3,3,colonial imposition,FALSE,3,Classic Evans-Pritchard/Bohannan stateless society. The opposition structure means any attempted hierarchy is automatically balanced by opposing lineage. Structural D.
Maroon Communities (Jamaica/Suriname),1655,1900,Caribbean,Escaped slave communities; rebuilt governance from multiple African traditions; treaty recognition of autonomy; mixed African-Indigenous governance forms,Reconstructed Freedom Community,Varied African/Syncretic,0.3,0.15,0.45,0.75,0.8,0.85,0.3,0.1,medium,community,2,2,colonial pressure,FALSE,2,"Unique case: explicit reconstruction of E, D, and R by people who had experienced near-zero values of all three. High R by definition — they invented their governance."
Tang Dynasty,618,907,China,Cosmopolitan empire; examination system meritocracy; equal-field land system; complex legal code; tributary system; multiple ethnic groups integrated,Meritocratic Imperial State,Buddhism/Taoism/Confucian,0.85,0.9,0.6,0.1,0.1,0.1,0.9,0.9,none,land/law/exam,5,5,fragmentation,FALSE,3,Near-maximum SAP anchor case. The examination system is institutionalised P channelled into A. High I via legal codes. Fragmentation in An Lushan rebellion shows resilience threshold breach.
Ottoman Empire,1299,1922,Anatolia/Middle East,Millet system (partial communal autonomy); devshirme slave-soldiers; extensive legal plurality; janissary corps as competitive politics channel; waqf as semi-autonomous civil society,Pluralist Imperial State,Sunni Islam,0.8,0.8,0.6,0.25,0.2,0.25,0.8,0.8,none,law/religion,5,5,dissolution,FALSE,3,High-SAP but with deliberate E preservation via millet system — a partial exemption from full lock-in. The devshirme is institutionalised P (slave competition for position).
Gadaa System,1500,1900,Oromo (Ethiopia),Age-set rotational democracy; egalitarian; periodic power transfer; generation-classes rotate through defined roles; built-in leadership term limits,Rotational Democracy,Oromo traditional,0.3,0.1,0.45,0.7,0.85,0.7,0.3,0.05,high,age-set,3,3,colonial disruption,FALSE,3,Maximum D anchor: the Gadaa system structurally requires power transfer. Authority cannot be held indefinitely — the age-set rotation is institutionalised D.
Akan Chieftaincy,1000,1800,West Africa (Akan),Clan-based authority; matrilineal inheritance; councils of elders; stool as symbol of community soul; destoolment (removal) of chiefs possible,Confederate Chieftaincy,Akan religion,0.5,0.2,0.45,0.55,0.6,0.5,0.4,0.1,low,clan,3,3,colonial absorption,FALSE,2,
Igbo Assemblies,-500,1800,Igbo (Nigeria),Acephalous (non-centralized); democratic village councils; age grades; title societies; no permanent chiefs; ofo staff as distributed authority symbol,Acephalous Democracy,Igbo traditional,0.1,0.1,0.4,0.8,0.85,0.75,0.3,0.05,low,community,2,2,colonial imposition,FALSE,3,
San Xaro Networks,-1000,1800,Southern Africa (San),Hunter-gatherer egalitarianism; ritualized exchange (hxaro); trance dance as levelling mechanism; deliberate ridicule of prestige-seekers; high mobility,Gift Exchange Network,San spirituality,0.05,0.05,0.25,0.95,0.95,0.9,0.1,0.05,high,none,1,3,colonial enclosure,FALSE,3,Maximum E and D case. The ridicule/levelling mechanism is explicit D. Hxaro exchange networks maintain alliance without hierarchy.
Berber Jemaa,-1000,1900,North Africa,Council of elders; tribal consensus; tamyiz (distinction/wisdom) as leadership basis; no permanent authority; women excluded but present in some regions,Tribal Council,Berber Islam/tribal,0.25,0.1,0.35,0.7,0.75,0.65,0.3,0.05,low,clan,2,3,colonial imposition,FALSE,2,
Zulu Monarchy,1816,1828,Southern Africa,Centralised military monarchy under Shaka; regimental system (amabutho); age-regiment discipline; rapid territorial expansion; no civilian administrative apparatus,Military Monarchy,Zulu religion,0.9,0.3,0.4,0.1,0.1,0.15,0.5,0.1,none,military,4,3,regicide/conquest,FALSE,2,Extreme S with minimal A — pure sovereignty without bureaucracy. The amabutho regiments are P channelled into military S rather than administration.
Greek Democracy,-508,-322,Greek,Direct citizen rule; sortition for offices; jury courts; assembly (ekklesia); exclusion of women/slaves/foreigners; ostracism as levelling mechanism,Direct Democracy,Greek polytheism,0.2,0.35,0.75,0.65,0.8,0.65,0.55,0.5,low,citizenship,3,2,conquest,FALSE,3,
Greek Aristocracy,-800,-600,Greek,Rule by noble elites; genos (clan) as basis; Areopagus as council; hereditary,Aristocracy,Greek polytheism,0.55,0.2,0.5,0.4,0.35,0.35,0.4,0.2,low,clan/birth,2,1,reform,FALSE,2,
Greek Oligarchy,-600,-400,Greek,Rule by wealthy non-nobles; property qualifications; smaller councils,Oligarchy,Greek polytheism,0.5,0.3,0.45,0.45,0.35,0.35,0.5,0.3,low,wealth,2,1,revolution,FALSE,2,
Greek Tyranny,-650,-500,Greek,One-man populist rule; often displaced aristocracy; public works; dependent on popular support,Tyranny,Greek polytheism,0.75,0.25,0.65,0.4,0.25,0.25,0.5,0.2,none,charisma,2,1,expulsion/death,FALSE,2,
Politeia,-700,-300,Greek,Balanced mixed government; combining elements of oligarchy and democracy,Mixed Constitution,Greek philosophy,0.4,0.35,0.5,0.55,0.55,0.5,0.5,0.3,low,law,2,1,transition,FALSE,2,
Theatrocracy,-430,-322,Greek,Rule by spectacle and performance; theatre as political space; demagogues as performers,Spectacle Democracy,Greek drama,0.3,0.3,0.9,0.55,0.65,0.5,0.5,0.4,medium,performance,3,2,conquest,FALSE,2,G&W's Theatrocracy: extreme P with democratic form. The demagogue as performer makes politics a competitive display rather than deliberation.
Greek Stratocracy,-700,-371,Greek,Rule by military class; Sparta as exemplar; agoge as formation system,Military Rule,Greek militarism,0.8,0.4,0.35,0.15,0.15,0.1,0.5,0.3,none,military,2,1,defeat,FALSE,2,
Greek Diarchy,-900,-146,Greek,Dual kingship with limited checks; Spartan two-king system with ephors,Dual Kingship,Greek tradition,0.6,0.3,0.3,0.25,0.35,0.25,0.45,0.2,none,military,2,1,conquest,FALSE,2,
Greek Timocracy,-594,-500,Greek,Wealth-based voting rights; Solonian reforms; property classes,Property Rule,Greek law,0.4,0.35,0.45,0.5,0.5,0.45,0.5,0.3,low,wealth,2,1,reform,FALSE,2,
Isocracy,-460,-322,Greek,Equal power among citizens; Periclean democracy ideal,Equal Power,Greek democracy,0.15,0.35,0.65,0.65,0.8,0.6,0.5,0.4,low,citizenship,3,2,conquest,FALSE,2,
Ochlokratia,-430,-322,Greek,Mob rule; assembly captured by demagoguery,Mob Rule,Greek populism,0.2,0.2,0.9,0.6,0.7,0.45,0.45,0.3,none,performance,3,2,collapse/conquest,FALSE,2,
Swiss Cantonal Democracy,1291,2025,Switzerland,Direct democracy through referenda; cantonal autonomy; militia army; Landsgemeinde open-air assembly; strong subsidiarity,Direct Democracy,Reformed Christianity,0.2,0.5,0.5,0.75,0.85,0.75,0.6,0.65,low,law/community,3,2,ongoing,FALSE,3,
Kurultai,1206,1700,Mongolia,Assembly of tribal leaders to elect khan; Yasa law code; dissolved if khan consensus failed; mobile governance,Elective Assembly,Tengrism,0.6,0.2,0.55,0.8,0.6,0.55,0.3,0.1,medium,military,4,5,fragmentation,FALSE,2,High E even with high S — the kurultai could withdraw legitimacy. The Mongol case shows high-S nomadic governance where exit remains structurally possible.
Cossack Hetmanate,1649,1764,Ukraine,Elected military leader (Hetman); Cossack council (Rada); annual elections; right of petition; abolished by Catherine II,Elected Military Confederacy,Orthodox Christianity,0.5,0.3,0.55,0.65,0.65,0.55,0.45,0.25,low,military,3,3,annexation,FALSE,2,
Andean Tinku,-500,1500,Andean South America,Conflict-resolution through ritual combat and festivals; dual moiety organisation; balance as political principle,Ritual Conflict Resolution,Andean dualism,0.2,0.1,0.55,0.65,0.7,0.6,0.3,0.05,medium,ritual,2,2,absorption,FALSE,2,
Zapotec Cocijo Cult,-500,800,Mesoamerica,Theocratic rule by priesthood devoted to rain deity; Monte Albán as urban centre; early writing; calendrical administration,Theocracy,Zapotec religion,0.65,0.5,0.35,0.3,0.3,0.25,0.6,0.45,low,ritual,3,2,decline,FALSE,2,
Pacific Potlatch,-1000,1800,Northwest Coast Pacific,Redistributive gift economy; social status through giving not accumulation; winter ceremonies; deliberate wealth destruction; ranked clans,Prestige Redistribution,Northwest animism,0.3,0.1,0.8,0.7,0.75,0.65,0.35,0.05,high,honour/clan,3,2,colonial disruption,FALSE,3,"High P but redistributive — prestige through giving, not accumulation. G&W note this as a case where P does NOT lead to hierarchy because surplus is destroyed not banked."
Pueblo Council Governance,-500,2025,American Southwest,Rotating council authority; consensus-building; religious integration; kiva as governance space; seasonal ceremonial calendar,Rotating Council,Pueblo cosmology,0.2,0.2,0.4,0.65,0.8,0.7,0.4,0.1,high,community,2,2,ongoing,FALSE,2,
Mississippian Chiefdoms,800,1600,Mississippi Valley,Hierarchical theocratic societies; mound complexes as power display; chiefly redistribution; ranked clans; Cahokia as peak (~15000 pop),Theocratic Hierarchy,Mississippian religion,0.65,0.3,0.5,0.35,0.3,0.3,0.5,0.1,low,tribute,4,3,abandonment/fragmentation,FALSE,2,
Tupi Confederacies,-500,1500,Brazil,Loosely organized war/peace confederacies; ritual leaders (pajé); inter-village alliance through kinship; high mobility,Loose Confederacy,Tupi animism,0.2,0.05,0.45,0.85,0.8,0.75,0.2,0.05,medium,none,2,3,colonial destruction,FALSE,2,
Tongan Maritime Empire,950,1865,Polynesia,Monarch-led hierarchical tribute system spanning Pacific islands; sacred Tu'i Tonga as divine sovereign; mana as legitimacy; tribute redistribution,Island Empire,Polynesian deification,0.75,0.25,0.45,0.4,0.3,0.25,0.55,0.1,low,tribute/ritual,3,4,colonial absorption,FALSE,2,
Micronesian Yapese Stone Council,-1000,1800,Micronesia,Wealth-based council using massive stone disks (rai stones); stones too large to move; consensus required; inter-island tribute network,Prestige Council,Micronesian animism,0.3,0.1,0.65,0.6,0.65,0.55,0.35,0.05,low,prestige/tribute,2,2,colonial disruption,FALSE,2,The rai stone money is theoretically interesting: maximum I (everyone knows who owns what) with minimum physical coercion. Pure social credit system.
Inuit Qaggiq Assemblies,-1000,1900,Arctic,Temporary governance for dispute resolution and ceremony; song duels for conflict resolution; no permanent chiefs; seasonal aggregation,Seasonal Council,Inuit animism,0.1,0.05,0.35,0.9,0.9,0.85,0.1,0.05,high,none,1,3,colonial disruption,FALSE,3,Song duels as institutionalised D — disputes resolved through competitive performance rather than coercion. Extreme E due to nomadic lifestyle.
Aboriginal Elders Councils,-5000,2025,Australia,Sacred law-keeping through oral tradition; Dreamtime authority; kinship system as governance; men's and women's separate law; country as jurisdiction,Sacred Eldership,Aboriginal Dreamtime,0.2,0.1,0.3,0.75,0.75,0.6,0.1,0.05,medium,kinship/sacred,1,3,ongoing,FALSE,3,Longest-continuous governance system in dataset. Low population density maintains high E. Sacred law as distributed D — authority is in the Law not the person.
Hittite Panku Council,-1650,-1200,Anatolia (Hittite),Council of nobles; early constitutional governance; Panku as check on royal power; treaty system as proto-international law,Council Oligarchy,Hittite religion,0.55,0.45,0.5,0.35,0.45,0.4,0.55,0.45,none,land/military,4,4,collapse/invasion,FALSE,3,The Panku is an early institutional D mechanism — formal council with power to constrain the king. Bronze Age Collapse eliminates it.
Khmer Devaraja,800,1431,Khmer Empire,Theocratic kingship; divine embodiment of god-king; hydraulic agricultural system; angkor as ritual-administrative centre; corvée labour,Divine Kingship,Hindu-Buddhist,0.85,0.6,0.3,0.1,0.1,0.1,0.8,0.5,none,land/ritual,5,4,abandonment/drought,FALSE,3,The hydraulic state: A is built around irrigation management. High L via rice surplus. Collapse linked to climate stress hitting the hydraulic infrastructure.
Majapahit Mandala,1293,1527,Indonesia,Overlapping suzerainty with tributary states; mandala as concentric sovereignty; local rulers maintain autonomy at periphery; maritime trade basis,Mandala Tribute System,Hindu-Buddhism,0.55,0.4,0.4,0.5,0.5,0.5,0.6,0.35,low,tribute,4,4,fragmentation,FALSE,2,
Roman Republic,-509,-27,Rome,"Mixed government with consuls, senate, and popular assemblies; tribunes with veto power; cursus honorum; client-patron system; expansionist",Mixed Constitution,Roman civic religion,0.45,0.6,0.7,0.4,0.5,0.4,0.7,0.65,none,land/patron,4,5,autocracy,FALSE,3,"The Roman transition from Republic to Empire is a textbook lock-in sequence: P (competitive politics) generates military S, which then eliminates D and R."
Tokugawa Shogunate,1603,1868,Japan,Feudal military government under Shogun; sankin-kōtai hostage system; strict class hierarchy (shi-nō-kō-shō); sakoku isolation policy; Confucian legitimation,Feudal Stratocracy,Shinto/Confucian,0.8,0.75,0.25,0.05,0.05,0.05,0.75,0.65,none,land/status/hostage,4,3,forced opening/reform,FALSE,3,"Extreme E suppression via sankin-kōtai (daimyo must alternate residences, leaving family as hostages). The hostage system is the binding mechanism made explicit."
Confucian Bureaucracy,-202,1912,China,Meritocratic civil service system; examination system as P-channel; Mandate of Heaven as D-mechanism (in theory); imperial censorate,Merit Bureaucracy,Confucianism,0.8,0.95,0.5,0.1,0.15,0.1,0.9,0.9,none,land/exam,5,5,revolution,FALSE,3,Maximum A case. The examination system institutionalises P into A. The Mandate of Heaven is a theoretical D (bad rulers can be overthrown) that rarely functions in practice.
Holy Roman Empire,800,1806,Central Europe,Elective monarchy with regional autonomy; prince-electors; imperial diet; free cities; complex overlapping jurisdictions,Decentralized Elective Empire,Catholic/Feudal,0.4,0.45,0.55,0.45,0.45,0.5,0.55,0.55,low,land/law,4,4,dissolution,FALSE,2,
Etruscan Lucumones,-800,-300,Etruria,City rulers; aristocratic religious leadership; lucumo as combined political-religious authority; confederation of twelve cities,City-Kingship,Etruscan religion,0.6,0.3,0.45,0.4,0.4,0.35,0.5,0.2,low,clan/ritual,3,2,absorption,FALSE,2,
Satrapy System,-550,-330,Persian Empire,Regional governors under central monarch; tribute collection; local law maintained; royal road communication; Zoroastrian legitimation,Provincial Governance,Zoroastrian/Persian,0.7,0.75,0.3,0.25,0.25,0.2,0.8,0.7,none,land/tribute,5,5,conquest,FALSE,3,
Ashanti Confederacy,1670,1900,West Africa,Federated system under the Asantehene with regional chiefs; Golden Stool as sacred sovereignty; asafo military companies; slave trade integration,Federated Kingdom,Ashanti spiritual,0.65,0.4,0.45,0.3,0.35,0.3,0.6,0.3,none,tribute/military,4,3,colonial conquest,FALSE,2,
